"id","format_obj_id","article_id","commande_id","producteur_id","nom_producteur","acheteur_id","conservation","quantite","nom","prix","format","unite_mesure","marge","tps","tvq","prix_total","ordre","quantite_facturee","tps_producteur_par_unite","tvq_producteur_par_unite","montant_consigne"
1,271007,272005,360009,184001,L'Herbivore,347002,frigo,1,Feuilletés au Végé-Pâté et au Confit d'oignons,5.50,"4",unité(s),0.82,0.00,0.00,6.32,33,0,,,
2,220037,215046,360017,189007,Retour à la Nature,351004,tablette,1,Tisane de thé du Labrador,4.00,"25",g,0.60,0.00,0.00,4.60,43,0,,,
3,364007,367004,360017,192002,Verger des Horizons,351004,frigo,1,Gelée de pommes,4.00,"250",ml,0.60,0.00,0.00,4.60,29,0,,,
4,248040,249050,360017,184008,La P'tite Virée,351004,congelo,1,Tire d'érable,5.95,"250",g,0.89,0.00,0.00,6.84,17,0,,,
5,,,360019,191001,Samour ail,367005,congelo,1,Pâte d'ail frais et persil,2.00,"40",g,0.30,0.00,0.00,2.30,8,0,,,
6,,,355034,187004,La Montagne bleue,355004,frigo,1,CHOUCROUTE,5.00,"500",ml,0.75,0.00,0.00,5.75,31,0,,,
7,320064,325075,355034,181002,Fromagerie P'tit Plaisir,355004,frigo,1,Fromage en bloc,3.50,"340",g,0.52,0.00,0.00,4.02,30,0,,,
8,,249137,360025,161028,Ferme des Hautes Terres,347019,congelo,1,Osso Buco (jaret de veau),8.42,"494",g,1.26,0.00,0.00,9.68,21,0,,,
9,355003,295005,365032,183010,Les petites pousses vert tendre,216055,tablette,1,Centre de table en germination 6',7.00,"6 ",pouce(s),1.05,0.00,0.00,8.05,119,0,,,
10,248055,247040,362048,151001,Canard Goûteux,364027,frigo,1,Cassoulet au Canard,20.00,"1",L,3.00,0.00,0.00,23.00,27,0,,,
11,197009,193010,367052,161026,Don pour la Sécurité alimentaire,346012,tablette,1,Don pour la Sécurité alimentaire,4.35,"1",unité(s),0.65,0.00,0.00,5.00,86,0,,,
12,309012,310012,367052,180003,La Jambonnière,346012,frigo,1,Cubes de porc,3.50,"454",g,0.52,0.00,0.00,4.02,38,0,,,
13,,,361002,143001,Ferme des Trois-Vallons,138003,congelo,1,Bavette de boeuf ,2.73,"142",g,0.41,0.00,0.00,3.14,2,0,,,
14,,183029,355049,143001,Ferme des Trois-Vallons,362001,congelo,2,Boeuf haché maigre,4.58,"425 - 449",g,0.69,0.00,0.00,5.27,2,0,,,
15,,,366053,184001,L'Herbivore,360036,frigo,1,Végé-Mer,4.00,"245",g,0.60,0.00,0.00,4.60,33,0,,,
16,,,366053,187004,La Montagne bleue,360036,tablette,1,Cuir de fruits,1.50,"20-25",g,0.22,0.00,0.00,1.72,57,0,,,
17,309012,310012,360009,180003,La Jambonnière,347002,frigo,1,Cubes de porc,3.50,"454",g,0.52,0.00,0.00,4.02,38,0,,,
18,,,360060,143001,Ferme des Trois-Vallons,185002,congelo,1,Rôti de palette,6.20,"575-599",g,0.93,0.00,0.00,7.13,2,0,,,
19,271001,270001,360060,166015,Chèvrerie Mathurin,185002,frigo,1,Fromage frais poivre rose,3.48,"120",g,0.52,0.00,0.00,4.00,34,0,,,
20,365042,362052,355034,192002,Verger des Horizons,355004,frigo,1,Jus de pommes   ,3.25,"2",L,0.49,0.00,0.00,3.74,29,0,,,
21,248035,248033,364076,151001,Canard Goûteux,348012,congelo,1,"Terrine de foie gras, canneberges ",18.00,"125",g,2.70,0.00,0.00,20.70,13,0,,,
22,321127,322148,364076,183001,Fromagerie du Presbytère,348012,frigo,1,Brie Paysan,4.00,"140",g,0.60,0.00,0.00,4.60,36,0,,,
23,285002,289002,364076,184008,La P'tite Virée,348012,tablette,1,Pépites d'érable,5.95,"125",g,0.89,0.00,0.00,6.84,114,0,,,
24,367054,362054,362070,192002,Verger des Horizons,358058,congelo,1,Jus de pommes (congelé),3.25,"2",L,0.49,0.00,0.00,3.74,22,0,,,
25,247081,247080,362070,161020,Crystalina,358058,frigo,1,"Canelloni aux légumes grillés, frais",3.00,"2",unité(s),0.45,0.00,0.00,3.45,32,0,,,
